,plr_nr,plr_name,plz
0,4400728,Hagenplatz,14193
1,1100206,Unter den Linden,10117
2,7400824,Bosepark,12103
3,11200513,Große-Leege-Straße,13055
4,3601245,Ostseestraße,10409
5,3701660,Bötzowstraße,10407
6,11300722,Rathaus Lichtenberg,10367
7,7601442,Kettinger Straße,12305
8,2500835,Stralauer Kiez,10245
9,12200309,Scharnweberstraße,13405
10,7200409,Belziger Straße,10823
11,4200203,Olympiagelände,14053
12,3701657,Thälmannpark,10405
14,8200624,Tempelhofer Weg,12347
15,9301025,Alt-Bohnsdorf,12526
16,11300620,Fennpfuhl Ost,10367
17,6100101,Fichtenberg,12165
18,1100308,Charitéviertel,10115
19,1300836,Humboldthain Nordwest,13347
20,9501736,Hirschgarten,12587
22,5100315,Ackerstraße,13585
23,2400624,Weberwiese,10243
24,2400625,Wriezener Bahnhof,10243
25,1100102,Großer Tiergarten,10557
26,3701554,Teutoburger Platz,10119
27,9501737,Alt-Friedrichshagen,12587
28,1200521,Zwinglistraße,10555
29,7100205,Alvenslebenstraße,10783
30,1100207,Leipziger Straße,10178
32,7601547,Horstwalder Straße,12307
34,2500834,Revaler Straße,10245
35,8100415,Ganghoferstraße,12043
36,6400737,Nikolassee,14129
37,2500831,Wismarplatz,10247
38,5200633,Graetschelsteig,13593
39,10100205,Gewerbegebiet Bitterfelder Straße,12681
40,9200819,Köllnische Vorstadt,12557
41,12500927,Wittenau Nord,13437
42,1100416,Arkonaplatz,10119
43,1100309,Oranienburger Straße,10119
44,4300623,Karl-August-Platz,10627
46,6400838,Krumme Lanke,14169
47,4501045,Schaperstraße,10789
48,3200206,Pastor-Niemöller-Platz,13156
49,3300412,Karow Bahnhof,13125
50,3701556,Kollwitzplatz,10435
51,3601244,Humannplatz,10439
52,6400838,Krumme Lanke,14129
53,3601243,Rodenbergstraße,10439
55,6100205,Südende,12167
56,9301227,Karolinenhof,12527
58,10400938,Mahlsdorf Nord,12623
59,6300634,Lichterfelde West,12205
60,1401046,Nordufer,13353
61,8100104,Wartheplatz,12051
62,9200717,Dörpfeldstraße Ost,12489
63,10100103,Wittenberger Straße,12689
64,2100104,Moritzplatz,10969
65,1100310,Alexanderplatzviertel,10178
66,4200206,Kranzallee,14055
67,3200207,Herthaplatz,13156
68,4500937,Halensee,10711
69,1200519,Emdener Straße,10551
71,11400929,Weitlingkiez,10317
72,2500832,Traveplatz,10245
73,3300411,Karow Nord,13125
75,7300515,Taunusstraße,12161
76,6400843,Thielallee,14195
78,1100102,Großer Tiergarten,10785
79,8100418,Hertzbergplatz,12059
81,4400833,Schlangenbader Straße,14197
82,12200412,Waldidyll/Flughafensee,13509
85,5200420,Staakener Straße,13581
86,4501148,Brabanter Platz,10713
87,4501147,Leon-Jessel-Platz,10713
88,2500729,Pettenkofer Straße,10247
92,12400723,Hermsdorf Ost/Waldsee,13467
93,11300725,Nibelungenviertel,10365
94,6400839,Fischerhüttenstraße,14163
95,1401048,Leopoldplatz,13347
96,1100101,Stülerstraße,10787
97,4400727,Flinsberger Platz,14199
98,12200515,Alt-Tegel,13507
99,7400720,Gontermannstraße,12101
100,4501040,Hindemithplatz,10629
101,1100207,Leipziger Straße,10117
102,11401032,Rosenfelder Ring,10317
103,4200207,Eichkamp,14055
104,4400831,Messelpark,14199
105,11501340,Karlshorst Nord,10318
106,1100311,Karl-Marx-Allee,10179
107,1401047,Sparrplatz,13353
109,8401245,Frauenviertel,12355
110,3500936,Komponistenviertel Weißensee,13088
112,9200715,Wista,12489
114,3601140,Malmöer Straße,10439
115,7300517,Perelsplatz,12159
116,1100415,Invalidenstraße,10115
117,8100208,Körnerpark,12051
120,8100417,Braunschweiger Straße,12055
122,8300935,Gropiusstadt Süd-West,12353
123,9501940,Güterbahnhof Köpenick,12555
125,3400826,Tiroler Viertel,13189
126,10200629,Teterower Ring,12619
127,10200421,Helle Mitte,12627
129,10300731,Oberfeldstraße,12683
130,10300734,Biesdorf Süd,12683
133,10400940,Elsensee,12623
134,8100209,Glasower Straße,12051
136,12400722,Hermsdorf West,13467
138,12500930,Wittenau Süd,13437
139,7100102,Kalckreuthstraße,10781
140,9100407,Johannisthal West,12487
141,3200309,Eddastraße,13127
142,2300419,Wrangelkiez,10997
146,2100106,Wassertorplatz,10999
148,7601546,Franziusweg,12307
149,1400938,Kameruner Straße,13353
150,4300415,Lietzensee,14057
152,1401049,Schulstraße,13347
154,7601545,Nahariyastraße,12309
155,2400623,Andreasviertel,10243
156,2200213,Graefekiez Nord,10967
158,6300629,Botanischer Garten,12203
159,1100312,Heine-Viertel West,10179
162,9100408,Johannisthal Ost,12487
164,3200310,Krugpfuhl,13127
166,5300841,Siemensdamm,13629
167,12100205,Teichstraße,13407
168,5100314,Kurstraße,13585
169,1300836,Humboldthain Nordwest,13353
170,7400826,Marienhöhe,12105
171,1401047,Sparrplatz,13347
172,12100101,Letteplatz,13409
175,10400836,Alt-Kaulsdorf,12621
176,9200716,Dörpfeldstraße West,12489
177,10400835,Kaulsdorf Nord,12621
179,4501042,Breitscheidplatz,10789
181,10200525,Schleipfuhl,12627
182,9401534,Altstadt Köpenick,12555
183,12200413,Tegel Süd,13507
185,3601141,Arnimplatz,10439
186,7400825,Friedrich-Karl-Straße,12103
187,4500936,Droysenstraße,10629
189,4300621,Richard-Wagner-Straße,10627
192,6300633,Augustaplatz,12203
193,1300834,Brunnenstraße,13357
195,7501029,Ringstraße,12105
198,5200630,Wilhelmstadt West,13595
199,4200310,Fürstenplatz,14055
200,6300528,Teltower Damm,14165
201,1100206,Unter den Linden,10178
202,4501153,Babelsberger Straße,10715
204,7400927,Rathaus Tempelhof,12099
206,10100210,Marzahner Promenade,12679
208,2500728,Samariterviertel,10247
210,6400844,Dahlem,14195
211,10300732,Buckower Ring,12683
212,6100102,Schloßstraße,12165
215,10400941,Pilgramer Straße,12623
216,9300920,Dorf Altglienicke,12524
217,2200212,Graefekiez Süd,10967
218,6200422,Oberhofer Platz,12209
220,6400737,Nikolassee,14193
221,1300836,Humboldthain Nordwest,13357
226,6100209,Feuerbachstraße,12163
227,2100101,Askanischer Platz,10963
229,11200512,Orankesee,13053
230,6300632,Schweizer Viertel,14167
232,7200413,Cheruskerstraße,10829
234,1200623,Stephankiez,10559
235,3400724,Wolfshagener Straße,13187
236,1100205,Wilhelmstraße,10117
237,5100316,Carl-Schurz-Straße,13597
238,2300314,Oranienplatz,10999
239,3300516,Heinersdorf,13089
240,6400838,Krumme Lanke,14163
241,6400735,Wannsee,14109
242,4300623,Karl-August-Platz,10625
246,3400826,Tiroler Viertel,13187
247,10200422,Hellersdorfer Promenade,12627
248,3701660,Bötzowstraße,10405
253,2500833,Boxhagener Platz,10245
254,11501238,Rummelsburg,10317
255,7200308,Volkspark (Rudolph-Wilde-Park),10825
256,6100207,Mittelstraße,12165
257,4100102,Paul-Hertz-Siedlung,13627
259,8100521,Schulenburgpark,12057
260,5100105,Amorbacher Weg,13585
261,12400616,Konradshöhe/Tegelort,13505
263,1200629,Hansaviertel,10557
267,4501147,Leon-Jessel-Platz,10717
269,3701556,Kollwitzplatz,10405
272,12500928,Waidmannslust,13469
275,3501037,Rathaus Weißensee,13088
276,4501045,Schaperstraße,10777
277,2500727,Forckenbeckplatz,10247
278,2300316,Köpenicker Straße,10997
281,6200313,Lankwitz Kirche,12247
282,6300526,Zehlendorf Mitte,14163
283,6100102,Schloßstraße,12163
284,5200631,Wilhelmstadt Ost,13581
286,5100209,Westerwaldstraße,13583
290,10200423,Böhlener Straße,12627
291,8100206,Flughafenstraße,12043
293,4501042,Breitscheidplatz,10719
295,8100206,Flughafenstraße,12053
298,5400943,Jägerallee,14089
300,7601544,John-Locke-Straße,12307
303,10100209,Lea-Grundig-Straße,12687
306,9300921,Preußen Siedlung,12524
308,6200315,Gallwitzallee,12249
309,5200418,Isenburger Weg,13591
313,1100311,Karl-Marx-Allee,10178
314,7601443,Töpchiner Weg,12305
321,10100316,Landsberger Tor,12685
325,9401635,Müggelheim,12559
333,1200624,Heidestraße,10557
341,9100101,Alt-Treptow,12435
348,5100103,Mertensstraße,13587
349,11400930,Zachertstraße,10315
350,10100209,Lea-Grundig-Straße,12679
353,7501134,Hundsteinweg,12109
354,8401244,Waßmannsdorfer Chaussee,12355
355,3400620,Schönholz,13158
357,9501838,Rahnsdorf,12589
358,5400944,Kladower Damm,14089
361,10100311,Marzahner Chaussee,12681
362,1100309,Oranienburger Straße,10117
371,10200524,Adele-Sandrock-Straße,12627
372,2100102,Mehringplatz,10969
376,1300834,Brunnenstraße,13355
382,10300733,Alt-Biesdorf,12683
389,10100313,Alt-Marzahn,12681
392,1100103,Lützowstraße,10785
393,9301126,Grünau,12527
403,9100306,Späthsfelde,12437
404,3200205,Uhlandstraße,13158
411,4300518,Kaiserin-Augusta-Allee,10589
422,5200524,Döberitzer Weg,13591
424,8100314,Donaustraße,12043
425,8401243,Alt-Rudow,12355
429,8401242,Zittauer Straße,12355
430,2200207,Gleisdreieck,10785
436,9300923,Kölner Viertel,12524
439,3500935,Behaimstraße,13086
455,9200613,Bahnhof Schöneweide,12439
460,2400521,Friedenstraße,10249
472,11200411,Hauptstraße,13053
475,11200515,Weiße Taube,13053
478,12400618,Heiligensee Nord,13503
482,10200418,Kyritzer Straße,12629
485,9401329,Kietzer Feld/Nachtheide,12557
510,3100101,Bucher Forst,13125
511,7100204,Barbarossaplatz,10781
517,3300514,Blankenburg,13129
535,3200205,Uhlandstraße,13156
544,2400522,Richard-Sorge-Viertel,10249
558,9100304,Baumschulenweg West,12437
590,7501032,Imbrosweg,12109
597,10400837,Kaulsdorf Süd,12621
598,7501134,Hundsteinweg,12107
605,12601133,Treuenbrietzener Straße,13439
611,3200308,Nisbléstraße,13127
633,1200517,Huttenkiez,10559
660,12601134,Märkisches Zentrum,13435
684,3601142,Falkplatz,10437
692,9200511,Griechischer Park,12459
712,11200410,Malchower Weg,13053
725,10200627,Am Kienberg,12619
751,4500938,Hochmeisterplatz,10709
760,11200411,Hauptstraße,13055
763,7601548,Wittelsbacherstraße,12309
765,9200512,Wuhlheide,12459
776,3400618,Rosenthal,13158
779,7400822,Lindenhofsiedlung,12105
787,3400619,Wilhelmsruh,13158
788,7100102,Kalckreuthstraße,10787
815,5300735,Haveleck,13599
829,2500830,Niederbarnimstraße,10247
872,1100313,Heine-Viertel Ost,10179
896,11401135,Dolgenseestraße,10319
898,8200729,Britzer Garten,12349
906,3601450,Volkspark Prenzlauer Berg,10407
919,6200420,Lichterfelde Süd,12207
922,9301024,Falkenberg,12524
939,7100103,Frobenstraße,10783
1018,12500825,Borsigwalde,13509
1040,8200833,Buckow Ost,12353
1057,3701554,Teutoburger Platz,10435
1069,3601348,Senefelderstraße,10437
1073,2500832,Traveplatz,10247
1089,2200207,Gleisdreieck,10965
1104,12400617,Alt-Heiligensee,13503
1106,9401329,Kietzer Feld/Nachtheide,12559
1124,3400725,Schlosspark,13156
1144,9200510,Helmholtz-Kiez,12459
1150,4500938,Hochmeisterplatz,10711
1178,4501041,George-Grosz-Platz,10707
1184,9301024,Falkenberg,12526
1225,7200414,Hohenfriedbergstraße,10965
1234,12500930,Wittenau Süd,13407
1246,11300616,Hohenschönhauser Straße,10369
1269,8401241,Blumenviertel,12357
1279,11400929,Weitlingkiez,10315
1290,12500824,Ziekowstraße/Freie Scholle,13509
1291,8100105,Silbersteinstraße,12099
1292,10100102,Rosenbecker Straße,12689
1294,10100207,Ahrensfelder Berge,12679
1300,11400928,Nöldnerplatz,10317
1301,11100101,Dörfer Malchow-Wartenberg,13051
